Job_title,Company,Salary_min,Salary_max,Skills_list,Location,Redirect_link,Apply_url,Experience_level
Penetration Tester,Stripe,150219,194002,"['GitLab CI', 'React', 'Docker', 'SVN']","New York, NY",https://example.com/job/1,https://example.com/apply/1,Lead
Python Developer,Snowflake,159552,197482,"['Kanban', 'Matplotlib', 'CI/CD', 'Cybersecurity', 'Angular', 'SVN', 'Plotly']","Philadelphia, PA",https://example.com/job/2,https://example.com/apply/2,Lead
Data Analyst,Stripe,126676,154079,"['Redis', 'Kanban', 'AWS', 'MongoDB']","Portland, OR",https://example.com/job/3,https://example.com/apply/3,Senior Level
Information Security Engineer,Twilio,109461,119798,"['JavaScript', 'Machine Learning', 'Cybersecurity', 'Azure', 'MongoDB', 'Network Security', 'PHP']","Austin, TX",https://example.com/job/4,https://example.com/apply/4,Mid Level
Software Tester,Kubernetes,158902,192400,"['PostgreSQL', 'TypeScript', 'ASP.NET', 'gRPC']","Denver, CO",https://example.com/job/5,https://example.com/apply/5,Lead
Network Engineer,Slack,107657,118327,"['Docker', 'Agile', 'Deep Learning', 'AWS', 'Splunk', 'GitLab CI', 'C++', 'Windows']","Baltimore, MD",https://example.com/job/6,https://example.com/apply/6,Mid Level
Business Intelligence Analyst,Adobe,164660,188493,"['BDD', 'React', 'Python', 'Vulnerability Assessment', 'Git']","Atlanta, GA",https://example.com/job/7,https://example.com/apply/7,Lead
Azure Engineer,Uber,208486,241951,"['TypeScript', 'SQL', 'GitHub Actions', 'GraphQL']",Hybrid,https://example.com/job/8,https://example.com/apply/8,Principal
Data Engineer,Adobe,84409,103600,"['Grafana', 'Microservices', 'Django', 'Tableau', 'React', 'PHP']","Phoenix, AZ",https://example.com/job/9,https://example.com/apply/9,Mid Level
Data Architect,SpaceX,214143,234931,"['Redis', 'Plotly', 'SVN', 'PostgreSQL', 'NumPy']","New York, NY",https://example.com/job/10,https://example.com/apply/10,Principal
Data Engineer,Splunk,239029,249909,"['CI/CD', 'BDD', 'Node.js', 'JavaScript', 'Flask']","Salt Lake City, UT",https://example.com/job/11,https://example.com/apply/11,Principal
Python Developer,Meta,220774,236638,"['Docker', 'Microservices', 'PostgreSQL', 'C++', 'DevSecOps', 'Angular']","Austin, TX",https://example.com/job/12,https://example.com/apply/12,Principal
System Administrator,Stripe,150074,162186,"['Cloud Security', 'Power BI', 'C#', 'C++', 'Vue.js']","Phoenix, AZ",https://example.com/job/13,https://example.com/apply/13,Lead
DevOps Engineer,Tesla,212457,234324,"['TDD', 'Cloud Security', 'Agile', 'Azure']","Atlanta, GA",https://example.com/job/14,https://example.com/apply/14,Principal
Data Architect,Meta,113428,146992,"['Penetration Testing', 'ASP.NET', 'Chef', 'Redis', 'SQL', 'Jenkins', 'PostgreSQL']",Remote,https://example.com/job/15,https://example.com/apply/15,Senior Level
Cloud Engineer,IBM,215351,237591,"['Power BI', 'Puppet', 'Kanban', 'Laravel', 'PostgreSQL', 'DevOps', 'Machine Learning', 'Java']","Washington, DC",https://example.com/job/16,https://example.com/apply/16,Principal
Full Stack Developer,GitLab,85183,119253,"['React', 'MongoDB', 'PHP', 'Flask', 'Windows', 'Git', 'Penetration Testing', 'MySQL']",Remote,https://example.com/job/17,https://example.com/apply/17,Mid Level
QA Engineer,Microsoft,60013,71716,"['Machine Learning', 'Splunk', 'C#', 'TDD', 'Matplotlib', 'PHP', 'Go']","San Francisco, CA",https://example.com/job/18,https://example.com/apply/18,Entry Level
DevOps Engineer,GitLab,133168,158184,"['DevOps', 'Scrum', 'Laravel', 'Mercurial', 'Docker']","Nashville, TN",https://example.com/job/19,https://example.com/apply/19,Senior Level
Cloud Solutions Engineer,Airbnb,111591,130623,"['C++', 'Jenkins', 'Redis', 'Ruby on Rails', 'Laravel']","Salt Lake City, UT",https://example.com/job/20,https://example.com/apply/20,Senior Level
QA Engineer,Zoom,74137,85459,"['SOA', 'AWS', 'Kubernetes', 'Spring Boot', 'PyTorch', 'Matplotlib']",Remote,https://example.com/job/21,https://example.com/apply/21,Entry Level
Azure Engineer,Atlassian,229488,245245,"['Scikit-learn', 'Express', 'ASP.NET', 'Django', 'React', 'Node.js', 'SVN']","Denver, CO",https://example.com/job/22,https://example.com/apply/22,Principal
Analytics Engineer,Snowflake,177176,194071,"['Windows', 'PHP', 'Machine Learning', 'GitHub Actions', 'Ruby on Rails', 'Penetration Testing', 'Terraform']","Houston, TX",https://example.com/job/23,https://example.com/apply/23,Lead
Network Engineer,Tableau,137625,153904,"['WebSocket', 'GraphQL', 'AWS', 'GitHub Actions', 'Vulnerability Assessment', 'Machine Learning']","Denver, CO",https://example.com/job/24,https://example.com/apply/24,Senior Level
Cloud Engineer,GitLab,129317,139612,"['Kanban', 'Puppet', 'Tableau', 'Network Security']","Philadelphia, PA",https://example.com/job/25,https://example.com/apply/25,Senior Level
Backend Developer,Amazon,75560,89759,"['Looker', 'Grafana', 'DevOps', 'MongoDB', 'TDD']",Remote,https://example.com/job/26,https://example.com/apply/26,Entry Level
Big Data Engineer,Intel,83309,116223,"['Python', 'MySQL', 'MongoDB', 'Django', 'D3.js']","Austin, TX",https://example.com/job/27,https://example.com/apply/27,Mid Level
Business Intelligence Analyst,Salesforce,143581,155619,"['Node.js', 'Puppet', 'Terraform', 'Python', 'Application Security', 'Tableau']","Boston, MA",https://example.com/job/28,https://example.com/apply/28,Senior Level
AWS Engineer,Slack,173027,192450,"['CI/CD', 'JavaScript', 'Elasticsearch', 'Application Security', 'Splunk', 'Node.js', 'TypeScript', 'Docker']","Portland, OR",https://example.com/job/29,https://example.com/apply/29,Lead
System Administrator,Meta,104840,115998,"['React', 'Ansible', 'Chef', 'Scrum', 'GitLab CI', 'Puppet']","Nashville, TN",https://example.com/job/30,https://example.com/apply/30,Mid Level
Software Tester,Square,180436,198147,"['Machine Learning', 'Azure', 'GitLab CI', 'Cybersecurity', 'SVN', 'Power BI', 'Penetration Testing']","Phoenix, AZ",https://example.com/job/31,https://example.com/apply/31,Lead
Technical Product Manager,Airbnb,122360,157379,"['Tableau', 'Vue.js', 'Elasticsearch', 'Java']","Austin, TX",https://example.com/job/32,https://example.com/apply/32,Senior Level
