title,company,location,category,salary_min,salary_max,salary_predicted,description,redirect_url
IaC / DevOps Lead,Maximus,"Savage, Anne Arundel County",IT Jobs,112181.08,112181.08,1,"General information Job Posting Title IaC / DevOps Lead Date Tuesday, August 12, 2025 City Annapolis Junction State MD Country United States Working time Full-time Description & Requirements Maximus is seeking a skilled IaC/DevOps (Infrastructure-as-Code) Lead to support vital systems in the defense of our Homeland. In this role you will focus on enhancing efficiency by implementing cutting-edge deployment pipelines and fostering collaboration between technical teams and enterprise stakeholders…",https://www.adzuna.com/land/ad/5352842287?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=48D12BDE9DB16CBA7E5AA8A1F99B4AD721FEA5CA
IaC DevOps Lead - Security Clearance Required,Maximus,"Savage, Anne Arundel County",IT Jobs,111762.05,111762.05,1,"General information Job Posting Title IaC / DevOps Lead Date Tuesday, August 12, 2025 City Annapolis Junction State MD Country United States Working time Full-time Description & Requirements Maximus is seeking a skilled IaC/DevOps (Infrastructure-as-Code) Lead to support vital systems in the defense of our Homeland. In this role you will focus on enhancing efficiency by implementing cutting-edge deployment pipelines and fostering collaboration between technical teams and enterprise stakeholders…",https://www.adzuna.com/land/ad/5401092640?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=9CF873CB5FD6CC727C65C804FFCD6DB8C9C612CE
IaC DevOps Lead - Secret Clearance Required,Maximus,"Savage, Anne Arundel County",IT Jobs,119337.47,119337.47,1,"General information Job Posting Title IaC / DevOps Lead Date Tuesday, August 12, 2025 City Annapolis Junction State MD Country United States Working time Full-time Description & Requirements Maximus is seeking a skilled IaC/DevOps (Infrastructure-as-Code) Lead to support vital systems in the defense of our Homeland. In this role you will focus on enhancing efficiency by implementing cutting-edge deployment pipelines and fostering collaboration between technical teams and enterprise stakeholders…",https://www.adzuna.com/land/ad/5401092641?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=C22E5BDF5A88BC72EEAD81ADA9B7B336492DDEBC
DevOps Engineer,VINNOVATION INC,"Los Angeles, Los Angeles County",IT Jobs,110736.76,110736.76,1,"Job Description Job Description Job Title : DevOps Engineer Location : Remote Job Type : Full-time Salary : Negotiable Job Responsibilities : Build and maintain CI/CD pipelines to support automated code building, testing, and deployment (tools such as Jenkins, GitLab CI, GitHub Actions, etc.); Manage containerized environments: responsible for Docker image building and publishing, and Kubernetes cluster deployment, upgrades, and operations; Automate infrastructure management using tools like An…",https://www.adzuna.com/land/ad/5400332979?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=A473929DCDB720A2800A9F2349D2ABA1D809FA86
DevOps Engineer,Robert Half,"Highlands Ranch, Douglas County",IT Jobs,120000.0,135000.0,0,"Job Description Job Description We are looking for a highly motivated DevOps Engineer to join our team in Highlands Ranch, Colorado. In this role, you will play a key part in enhancing system reliability, streamlining deployment processes, and supporting scalable infrastructure. If you are passionate about automation, cloud technologies, and creating efficient workflows, we encourage you to apply. Responsibilities: • Design, implement, and manage robust CI/CD pipelines using tools such as Jenki…",https://www.adzuna.com/land/ad/5371454466?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=D2EAD8325C2C3D09219E1753B5B93AD22E6090C2
DevOps Engineer,4 Consulting Inc.,"Atlanta, Fulton County",IT Jobs,89323.73,89323.73,1,"Job Description Job Description Who we are! At 4Ci our mission is to build long term relationships, based on trust, integrity, and knowledge with all our employees and business affiliates. 4Ci has been in business for 20 years and has employees working on mission critical projects nationwide. We provide computer programming, testing, and system design services to develop and maintain multi-year, multi-million-dollar mission critical applications for the US Government. Examples of such applicati…",https://www.adzuna.com/land/ad/5395659021?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=95FB933E737446FB3D2D3AE0E7F21D40FB00E17A
DevOps Engineer,Akkodis,"Plano, Madison County",IT Jobs,107530.86,107530.86,1,"Job Description Job Description Akkodis is seeking a DevOps Engineer for a Contract job with a client in Plano, TX/Richmond, VA (Hybrid). You will configure and deploy containerized vendor applications as proof of concept, ensuring scalability and maintainability. Rate Range: $60/hour to $65/hour; The rate may be negotiable based on experience, education, geographic location, and other factors. DevOps Engineer job responsibilities include: Configure and deploy containerized vendor applications …",https://www.adzuna.com/land/ad/5395732700?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=3C7980B4C41520C015D7BEF864B697B3B2CF2124
DevOps Engineer,Onspring Technologies LLC,"Overland Park, Johnson County",IT Jobs,91782.28,91782.28,1,"Job Description Job Description Onspring is seeking a skilled and motivated DevOps Engineer (or Architect) to help scale and support the infrastructure powering our SaaS platform. In this role, you'll work closely with development, security, and support teams to design, implement, and maintain robust cloud-based and on prem infrastructure, automation, and monitoring systems. This is a hands-on role that blends engineering with architectural planning, and includes involvement in performance tuni…",https://www.adzuna.com/land/ad/5398714340?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=14F2858F6AE9220A7695F1F553DC7FE9000B5914
Lead DevOps Engineer,Keyphase Inc,"Chicago, Cook County",IT Jobs,91197.79,91197.79,1,"Job Description Job Description Job Description: We are looking for an experienced Lead DevOps Engineer to design, implement, and manage CI/CD pipelines for deploying software stacks in public and private cloud environments. This hands-on role involves enhancing infrastructure automation, improving deployment processes, and ensuring robust security and compliance standards. You will collaborate with Agile product delivery teams, architecture, and security teams to deliver scalable and efficient…",https://www.adzuna.com/land/ad/5367649195?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=3A43FA812DD7D74AF7BB55636353A2ED40969470
Senior DevOps Engineer,T-Rex Solutions,"Annapolis Junction, Anne Arundel County",IT Jobs,99392.9,99392.9,1,"Job Description Job Description T-Rex is looking for a talented Senior DevOps Engineer to work on a program in the Annapolis Junction area in support of the Intelligence Community. Responsibilities: Provide optimization and automation across multiple platforms and applications. Drive consistency for deployment and build processes. Utilize modern tools like Jenkins, Docker, Kubernetes, Amazon Web Services, Ansible, Terraform, Python, Linux, and much more. You have worked with teams before on lar…",https://www.adzuna.com/land/ad/5398714833?se=yDyirT2Z8BGtF-Yn1mIJCg&utm_medium=api&utm_source=a6e23083&v=E3397A6DD561544C5EB4849479F7A1A05368428F
